Age,LastTransaction,Churn,Gender_female,Gender_male,Payment Method_cash,Payment Method_cheque,Payment Method_credit card
64.0,98,1,False,True,False,False,True
35.0,118,0,False,True,False,True,False
25.0,107,1,True,False,False,False,True
39.0,90,1,False,True,False,False,True
28.0,189,0,True,False,False,True,False
21.0,102,1,True,False,False,False,True
48.0,141,1,False,True,False,False,True
70.0,153,0,True,False,False,False,True
36.0,46,1,False,True,False,False,True
22.0,51,1,False,True,False,False,True
27.0,137,1,False,True,True,False,False
22.0,147,1,False,True,True,False,False
24.0,162,0,True,False,True,False,False
45.0,55,1,False,True,False,False,True
45.0,160,1,False,True,False,False,True
66.0,156,0,True,False,True,False,False
82.0,177,0,True,False,True,False,False
35.0,176,1,True,False,False,False,True
17.0,133,1,True,False,False,False,True
52.0,193,1,False,True,True,False,False
49.0,183,0,True,False,False,False,True
40.0,110,1,False,True,False,False,True
53.0,187,0,True,False,False,False,True
64.0,133,0,True,False,False,False,True
42.0,175,0,True,False,False,False,True
66.0,168,1,False,True,True,False,False
84.0,195,1,True,False,True,False,False
34.0,96,1,False,True,False,True,False
46.0,86,1,False,True,False,False,True
68.0,179,1,False,True,True,False,False
18.0,173,0,True,False,True,False,False
49.0,188,0,True,False,True,False,False
23.0,118,1,True,False,False,False,True
38.0,131,1,False,True,False,False,True
22.0,72,1,True,False,False,False,True
21.0,89,1,False,True,False,False,True
37.0,162,0,True,False,False,False,True
70.0,153,0,True,False,False,False,True
47.0,210,0,True,False,False,False,True
55.0,126,0,False,True,True,False,False
42.0,83,1,False,True,False,False,True
38.0,114,1,False,True,False,False,True
60.0,142,1,True,False,False,False,True
68.0,112,1,False,True,False,False,True
22.0,88,1,False,True,False,False,True
63.0,160,1,False,True,True,False,False
25.0,95,0,False,True,False,False,True
84.0,163,1,False,True,False,False,True
53.0,118,1,False,True,False,False,True
47.0,212,0,True,False,False,True,False
52.0,132,1,False,True,False,False,True
25.0,92,1,False,True,False,False,True
47.0,163,1,False,True,True,False,False
47.0,142,1,True,False,True,False,False
33.0,30,1,True,False,False,False,True
74.0,195,1,False,True,False,False,True
35.0,69,1,False,True,False,False,True
35.0,153,1,True,False,False,False,True
52.0,203,1,True,False,True,False,False
20.0,129,1,False,True,False,False,True
50.0,117,1,False,True,False,False,True
38.0,199,1,False,True,False,True,False
66.0,87,1,False,True,False,False,True
19.0,51,1,False,True,False,False,True
42.0,115,1,False,True,False,False,True
35.0,174,0,True,False,False,False,True
86.0,159,0,True,False,False,False,True
27.0,75,1,True,False,False,False,True
34.0,121,0,False,True,False,False,True
64.0,182,0,True,False,False,False,True
63.0,92,1,False,True,False,False,True
31.0,118,1,False,True,False,False,True
36.0,204,0,True,False,False,False,True
58.0,222,0,True,False,True,False,False
21.0,57,0,False,True,True,False,False
27.0,107,1,True,False,False,False,True
51.0,111,1,False,True,False,False,True
42.0,113,1,False,True,False,False,True
67.0,27,0,True,False,False,False,True
55.0,170,1,True,False,True,False,False
23.0,123,0,True,False,False,False,True
36.0,97,1,False,True,False,False,True
89.0,63,0,True,False,True,False,False
64.0,156,1,False,True,True,False,False
72.0,98,1,False,True,False,False,True
50.0,173,0,True,False,False,False,True
71.0,157,1,False,True,False,True,False
79.0,187,1,False,True,False,False,True
51.0,185,0,True,False,True,False,False
72.0,223,0,True,False,True,False,False
61.0,117,0,True,False,True,False,False
59.0,153,1,True,False,False,False,True
49.0,148,1,False,True,False,False,True
54.0,136,0,True,False,False,True,False
26.0,112,1,False,True,True,False,False
18.0,81,1,False,True,True,False,False
37.0,178,1,True,False,True,False,False
42.0,152,0,True,False,True,False,False
69.0,82,1,False,True,False,False,True
24.0,154,1,False,True,False,False,True
62.0,121,0,True,False,True,False,False
39.0,126,1,False,True,False,False,True
37.0,139,1,True,False,False,False,True
22.0,73,1,True,False,False,False,True
38.0,187,0,False,True,True,False,False
28.0,136,1,True,False,False,False,True
53.0,138,1,False,True,False,False,True
76.0,167,0,True,False,False,True,False
42.0,165,0,True,False,False,False,True
65.0,60,1,False,True,True,False,False
65.0,143,0,False,True,True,False,False
24.0,78,1,False,True,False,False,True
31.0,153,0,True,False,True,False,False
46.0,70,0,True,False,False,True,False
68.0,37,1,False,True,False,False,True
42.0,160,1,False,True,True,False,False
55.0,154,1,True,False,False,False,True
54.0,130,0,True,False,True,False,False
81.0,178,0,False,True,False,False,True
46.0,118,1,False,True,False,False,True
63.0,140,1,True,False,False,False,True
73.0,195,1,False,True,False,False,True
17.0,130,1,False,True,False,False,True
53.0,183,0,True,False,True,False,False
17.0,51,1,True,False,False,False,True
91.0,194,1,True,False,False,True,False
35.0,87,1,False,True,False,False,True
80.0,64,0,True,False,True,False,False
35.0,177,0,True,False,False,False,True
67.0,117,1,True,False,False,False,True
46.0,112,1,False,True,False,False,True
50.0,177,0,True,False,False,False,True
50.0,176,0,True,False,False,True,False
25.0,148,0,True,False,True,False,False
38.0,158,0,True,False,False,False,True
30.0,117,1,False,True,True,False,False
27.0,122,1,False,True,False,False,True
32.0,134,0,True,False,True,False,False
56.0,142,1,False,True,False,False,True
29.0,118,1,False,True,False,False,True
58.0,88,1,False,True,False,False,True
37.0,165,0,True,False,False,False,True
49.0,200,1,False,True,True,False,False
19.0,96,1,False,True,False,False,True
57.0,108,1,False,True,False,False,True
27.0,107,0,True,False,False,False,True
78.0,215,0,True,False,True,False,False
29.0,73,1,False,True,False,False,True
59.0,178,1,False,True,True,False,False
62.0,106,1,False,True,False,False,True
57.0,157,0,True,False,False,False,True
29.0,112,1,True,False,False,False,True
28.0,139,1,True,False,False,False,True
51.0,112,1,False,True,False,False,True
45.0,132,0,False,True,False,False,True
85.0,194,0,True,False,True,False,False
51.0,198,0,True,False,True,False,False
34.0,98,1,False,True,False,False,True
30.0,128,1,False,True,False,False,True
89.0,170,0,True,False,True,False,False
33.0,11,0,True,False,False,False,True
17.0,214,0,True,False,True,False,False
50.0,146,1,True,False,False,False,True
42.0,142,0,False,True,False,True,False
34.0,100,1,False,True,False,False,True
55.0,160,1,True,False,True,False,False
73.0,168,0,True,False,True,False,False
59.0,146,1,False,True,False,False,True
47.0,208,1,False,True,True,False,False
78.0,169,0,True,False,True,False,False
69.0,159,0,True,False,False,False,True
38.0,189,1,False,True,True,False,False
17.0,82,0,True,False,False,False,True
22.0,102,1,False,True,False,False,True
52.0,150,1,True,False,False,True,False
30.0,130,0,True,False,False,False,True
36.0,193,1,False,True,False,True,False
60.0,170,0,True,False,True,False,False
23.0,176,0,True,False,True,False,False
40.0,103,1,False,True,False,False,True
27.0,73,1,True,False,False,False,True
52.0,207,0,True,False,False,False,True
75.0,172,1,False,True,False,False,True
40.0,74,1,False,True,False,False,True
30.0,77,1,False,True,False,False,True
42.0,149,1,False,True,True,False,False
43.0,72,1,True,False,True,False,False
61.0,140,0,False,True,True,False,False
56.0,46,1,False,True,False,False,True
51.0,179,0,True,False,False,False,True
37.0,109,1,False,True,False,False,True
30.0,111,1,True,False,False,False,True
35.0,120,0,True,False,True,False,False
25.0,152,0,False,True,True,False,False
26.0,107,1,False,True,False,False,True
33.0,191,0,True,False,False,False,True
43.0,184,0,True,False,False,False,True
21.0,103,1,False,True,True,False,False
29.0,75,1,False,True,False,False,True
34.0,118,1,False,True,True,False,False
33.0,162,0,True,False,False,False,True
17.0,103,1,False,True,False,False,True
79.0,141,0,True,False,False,False,True
79.0,160,1,False,True,False,False,True
52.0,115,1,False,True,False,False,True
62.0,136,0,True,False,False,True,False
35.0,141,0,True,False,False,False,True
31.0,55,1,False,True,False,False,True
47.0,163,0,True,False,True,False,False
35.0,107,1,False,True,False,False,True
61.0,94,1,False,True,False,False,True
62.0,82,1,False,True,False,False,True
55.0,155,1,True,False,False,False,True
48.0,143,1,False,True,False,True,False
89.0,132,1,False,True,True,False,False
33.0,172,0,True,False,False,False,True
50.0,194,1,True,False,False,False,True
63.0,196,0,False,True,False,True,False
64.0,61,0,True,False,False,False,True
74.0,190,1,False,True,False,False,True
33.0,111,1,False,True,False,False,True
81.0,149,1,False,True,False,False,True
81.0,143,1,True,False,False,False,True
50.0,129,0,True,False,True,False,False
53.0,126,1,False,True,True,False,False
56.0,179,1,False,True,False,True,False
50.0,151,0,True,False,False,False,True
38.0,140,0,True,False,False,False,True
71.0,131,1,False,True,False,False,True
18.0,60,1,True,False,False,False,True
27.0,119,1,True,False,False,False,True
27.0,182,0,True,False,False,True,False
86.0,97,0,True,False,False,False,True
82.0,159,1,False,True,True,False,False
24.0,73,1,False,True,True,False,False
29.0,126,1,False,True,False,False,True
45.0,67,1,False,True,False,False,True
35.0,131,1,False,True,False,False,True
90.0,138,1,False,True,False,False,True
51.0,106,1,False,True,False,False,True
24.0,115,1,True,False,False,False,True
28.0,94,1,False,True,True,False,False
43.0,167,0,True,False,False,True,False
21.0,106,0,True,False,False,False,True
46.0,50,1,False,True,False,False,True
34.0,160,0,True,False,False,False,True
40.0,87,1,False,True,False,False,True
38.0,190,0,True,False,True,False,False
45.0,77,1,False,True,False,False,True
48.0,133,0,True,False,True,False,False
55.0,68,0,False,True,False,False,True
17.0,189,0,True,False,False,True,False
28.0,94,1,False,True,False,False,True
73.0,184,0,True,False,True,False,False
54.0,157,0,True,False,False,True,False
70.0,98,1,False,True,False,False,True
58.0,108,0,True,False,True,False,False
40.0,138,1,False,True,False,False,True
63.0,169,1,True,False,False,False,True
75.0,192,1,True,False,True,False,False
39.0,177,0,True,False,False,False,True
31.0,99,1,False,True,True,False,False
90.0,156,1,False,True,False,False,True
28.0,43,1,False,True,False,False,True
43.0,44,1,False,True,False,False,True
56.0,110,1,False,True,False,False,True
40.0,102,1,False,True,False,False,True
39.0,118,0,True,False,False,False,True
40.0,134,0,True,False,True,False,False
36.0,173,1,True,False,False,False,True
34.0,182,0,True,False,False,False,True
86.0,159,1,True,False,False,False,True
52.0,138,1,False,True,True,False,False
20.0,116,1,False,True,False,False,True
46.0,88,1,False,True,False,False,True
42.0,152,1,False,True,True,False,False
54.0,80,1,False,True,False,False,True
46.0,86,1,False,True,False,False,True
76.0,134,0,True,False,False,False,True
20.0,76,1,True,False,False,False,True
51.0,94,1,False,True,False,False,True
54.0,134,1,False,True,True,False,False
65.0,139,0,True,False,False,True,False
55.0,172,1,True,False,False,False,True
17.0,73,1,False,True,True,False,False
18.0,130,0,True,False,False,False,True
21.0,78,1,True,False,False,False,True
64.0,142,0,True,False,True,False,False
71.0,80,1,False,True,False,False,True
43.0,168,1,False,True,True,False,False
18.0,175,0,True,False,False,True,False
39.0,157,0,True,False,False,False,True
26.0,20,1,False,True,True,False,False
17.0,85,1,True,False,False,False,True
77.0,145,0,True,False,False,False,True
45.0,116,0,True,False,False,False,True
90.0,31,1,False,True,False,False,True
55.0,163,1,False,True,True,False,False
37.0,134,1,True,False,False,False,True
30.0,89,1,True,False,False,False,True
41.0,117,1,False,True,False,False,True
46.0,192,0,False,True,True,False,False
48.0,114,1,False,True,False,False,True
34.0,110,1,False,True,False,False,True
52.0,170,1,False,True,True,False,False
18.0,70,1,True,False,False,False,True
46.0,72,0,True,False,False,False,True
64.0,28,1,False,True,False,False,True
75.0,199,0,True,False,True,False,False
65.0,111,1,False,True,False,False,True
34.0,129,0,False,True,False,False,True
27.0,142,0,False,True,False,False,True
42.0,69,1,False,True,False,False,True
33.0,121,1,False,True,False,False,True
49.0,165,0,True,False,False,False,True
76.0,160,0,True,False,False,False,True
41.0,109,1,False,True,False,False,True
43.0,86,1,False,True,False,False,True
44.0,118,0,True,False,True,False,False
20.0,43,1,True,False,False,False,True
18.0,96,1,False,True,False,False,True
53.0,90,0,False,True,True,False,False
46.0,92,1,False,True,False,False,True
