Age,LastTransaction,Churn,Gender_female,Gender_male,Payment Method_cash,Payment Method_cheque,Payment Method_credit card
38,171,1,False,True,False,True,False
24,140,1,True,False,False,True,False
82,39,0,False,True,True,False,False
34,217,1,False,True,True,False,False
70,170,0,True,False,False,True,False
41,104,0,True,False,False,True,False
70,136,1,False,True,False,False,True
33,56,1,False,True,False,False,True
51,184,1,False,True,True,False,False
56,70,0,False,True,True,False,False
41,153,0,True,False,False,True,False
25,32,0,True,False,True,False,False
47,78,1,False,True,True,False,False
83,151,1,True,False,False,True,False
67,99,1,False,True,False,False,True
25,171,1,True,False,False,True,False
61,66,0,True,False,False,False,True
21,138,1,True,False,False,True,False
83,33,1,True,False,True,False,False
38,148,0,False,True,False,True,False
68,37,1,False,True,False,True,False
84,26,0,True,False,False,True,False
57,177,0,False,True,True,False,False
40,62,0,False,True,True,False,False
21,85,1,False,True,False,False,True
23,197,1,True,False,True,False,False
58,19,1,False,True,True,False,False
81,185,1,True,False,False,True,False
51,48,0,True,False,False,True,False
68,46,1,False,True,False,False,True
