Age,LastTransaction,Churn,Gender_female,Gender_male,Payment Method_cash,Payment Method_cheque,Payment Method_credit card
38,171,1,0,1,0,1,0
24,140,1,1,0,0,1,0
82,39,0,0,1,1,0,0
34,217,1,0,1,1,0,0
70,170,0,1,0,0,1,0
41,104,0,1,0,0,1,0
70,136,1,0,1,0,0,1
33,56,1,0,1,0,0,1
51,184,1,0,1,1,0,0
56,70,0,0,1,1,0,0
41,153,0,1,0,0,1,0
25,32,0,1,0,1,0,0
47,78,1,0,1,1,0,0
83,151,1,1,0,0,1,0
67,99,1,0,1,0,0,1
25,171,1,1,0,0,1,0
61,66,0,1,0,0,0,1
21,138,1,1,0,0,1,0
83,33,1,1,0,1,0,0
38,148,0,0,1,0,1,0
68,37,1,0,1,0,1,0
84,26,0,1,0,0,1,0
57,177,0,0,1,1,0,0
40,62,0,0,1,1,0,0
21,85,1,0,1,0,0,1
23,197,1,1,0,1,0,0
58,19,1,0,1,1,0,0
81,185,1,1,0,0,1,0
51,48,0,1,0,0,1,0
68,46,1,0,1,0,0,1
